CveID,Cvss2Severity,Cvss3Severity,SourceLink,Summary,Title,FixedIn,Name,NotFixedYet
CVE-2020-24586,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-24586,The 802.11 standard that underpins Wi-Fi Protected Access (WPA  WPA2  and WPA3) and Wired Equivalent Privacy (WEP) doesn't require that received fragments be cleared from memory after (re)connecting to a network. Under the right circumstances  when another device sends fragmented frames encrypted using WEP  CCMP  or GCMP  this can be abused to inject arbitrary network packets and/or exfiltrate user data. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation did not properly clear received fragments from memory in some situations. A physically proximate attacker could possibly use this issue to inject packets or expose sensitive information.,CVE-2020-24586 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-24587,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-24587,The 802.11 standard that underpins Wi-Fi Protected Access (WPA  WPA2  and WPA3) and Wired Equivalent Privacy (WEP) doesn't require that all fragments of a frame are encrypted under the same key. An adversary can abuse this to decrypt selected fragments when another device sends fragmented frames and the WEP  CCMP  or GCMP encryption key is periodically renewed. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation incorrectly handled encrypted fragments. A physically proximate attacker could possibly use this issue to decrypt fragments.,CVE-2020-24587 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-24588,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-24588,The 802.11 standard that underpins Wi-Fi Protected Access (WPA  WPA2  and WPA3) and Wired Equivalent Privacy (WEP) doesn't require that the A-MSDU flag in the plaintext QoS header field is authenticated. Against devices that support receiving non-SSP A-MSDU frames (which is mandatory as part of 802.11n)  an adversary can abuse this to inject arbitrary network packets. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation incorrectly handled certain malformed frames. If a user were tricked into connecting to a malicious server  a physically proximate attacker could use this issue to inject packets.,CVE-2020-24588 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-25639,Low,Low,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-25639,A NULL pointer dereference flaw was found in the Linux kernel's GPU Nouveau driver functionality in versions prior to 5.12-rc1 in the way the user calls ioctl DRM_IOCTL_NOUVEAU_CHANNEL_ALLOC. This flaw allows a local user to crash the system. It was discovered that the Nouveau GPU driver in the Linux kernel did not properly handle error conditions in some situations. A local attacker could use this to cause a denial of service (system crash).,CVE-2020-25639 on Ubuntu 20.04 (focal) - low.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-25670,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-25670,A vulnerability was found in Linux Kernel where refcount leak in llcp_sock_bind() causing use-after-free which might lead to privilege escalations. Kiyin (尹亮) discovered that the NFC LLCP protocol implementation in the Linux kernel contained a reference counting error. A local attacker could use this to cause a denial of service (system crash).,CVE-2020-25670 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-25671,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-25671,A vulnerability was found in Linux Kernel  where a refcount leak in llcp_sock_connect() causing use-after-free which might lead to privilege escalations. Kiyin (尹亮) discovered that the NFC LLCP protocol implementation in the Linux kernel did not properly deallocate memory in certain error situations. A local attacker could use this to cause a denial of service (memory exhaustion).,CVE-2020-25671 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-25672,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-25672,A memory leak vulnerability was found in Linux kernel in llcp_sock_connect Kiyin (尹亮) discovered that the NFC LLCP protocol implementation in the Linux kernel did not properly deallocate memory in certain error situations. A local attacker could use this to cause a denial of service (memory exhaustion).,CVE-2020-25672 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-25673,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-25673,A vulnerability was found in Linux kernel where non-blocking socket in llcp_sock_connect() leads to leak and eventually hanging-up the system. Kiyin (尹亮) discovered that the NFC LLCP protocol implementation in the Linux kernel did not properly handle error conditions in some situations  leading to an infinite loop. A local attacker could use this to cause a denial of service.,CVE-2020-25673 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-26139,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-26139,An issue was discovered in the kernel in NetBSD 7.1. An Access Point (AP) forwards EAPOL frames to other clients even though the sender has not yet successfully authenticated to the AP. This might be abused in projected Wi-Fi networks to launch denial-of-service attacks against connected clients and makes it easier to exploit other vulnerabilities in connected clients. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation incorrectly handled EAPOL frames from unauthenticated senders. A physically proximate attacker could inject malicious packets to cause a denial of service (system crash).,CVE-2020-26139 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-26141,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-26141,An issue was discovered in the ALFA Windows 10 driver 6.1316.1209 for AWUS036H. The Wi-Fi implementation does not verify the Message Integrity Check (authenticity) of fragmented TKIP frames. An adversary can abuse this to inject and possibly decrypt packets in WPA or WPA2 networks that support the TKIP data-confidentiality protocol. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation did not properly verify certain fragmented frames. A physically proximate attacker could possibly use this issue to inject or decrypt packets.,CVE-2020-26141 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-26145,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-26145,An issue was discovered on Samsung Galaxy S3 i9305 4.4.4 devices. The WEP  WPA  WPA2  and WPA3 implementations accept second (or subsequent) broadcast fragments even when sent in plaintext and process them as full unfragmented frames. An adversary can abuse this to inject arbitrary network packets independent of the network configuration. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation accepted plaintext fragments in certain situations. A physically proximate attacker could use this issue to inject packets.,CVE-2020-26145 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
CVE-2020-26147,Medium,Medium,http://people.ubuntu.com/~ubuntu-security/cve/CVE-2020-26147,An issue was discovered in the Linux kernel 5.8.9. The WEP  WPA  WPA2  and WPA3 implementations reassemble fragments even though some of them were sent in plaintext. This vulnerability can be abused to inject packets and/or exfiltrate selected fragments when another device sends fragmented frames and the WEP  CCMP  or GCMP data-confidentiality protocol is used. Mathy Vanhoef discovered that the Linux kernel’s WiFi implementation could reassemble mixed encrypted and plaintext fragments. A physically proximate attacker could possibly use this issue to inject packets or exfiltrate selected fragments.,CVE-2020-26147 on Ubuntu 20.04 (focal) - medium.,5.11.0-1009.9~20.04.2,linux-aws,false
